current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
gershayim,mahapakh,43,4.3,2.06943594,13,18.700748,True,0.00199601,0,500,genesis,main,full
revia,tevir,39,18.25,4.35078829,26,4.769251,True,0.00199601,0,500,genesis,main,full
zinor,munah,38,8.182,2.59351666,16,11.497131,True,0.00199601,0,500,genesis,main,full
gershayim,munah,35,13.22,3.30960829,19,6.580839,True,0.00199601,0,500,genesis,main,full
munah,segol,35,8.356,2.77789442,16,9.591437,True,0.00199601,0,500,genesis,main,full
sof_pasuq,gershayim,34,8.18,2.71557521,16,9.508115,True,0.00199601,0,500,genesis,main,full
sof_pasuq,telisha_qetana,32,6.734,2.56601107,16,9.846411,True,0.00199601,0,500,genesis,main,full
revia,yetiv,28,2.192,1.45718316,8,17.710883,True,0.00199601,0,500,genesis,main,full
zinor,segol,28,0.258,0.48981204,3,,False,0.00199601,0,500,genesis,main,full
telisha_gedola,qadma,26,1.212,1.11604081,7,22.210657,True,0.00199601,0,500,genesis,main,full
atnah,gershayim,25,7.796,2.71608878,16,6.334108,True,0.00199601,0,500,genesis,main,full
sof_pasuq,telisha_gedola,21,3.818,1.8053794,11,9.517113,True,0.00199601,0,500,genesis,main,full
zaqef_qatan,yetiv,20,7.03,2.50952095,15,5.168317,True,0.00199601,0,500,genesis,main,full
meteg,gershayim,26,14.578,3.6401122,21,3.137815,True,0.00399202,1,500,genesis,main,full
atnah,revia,63,43.444,6.2821808,39,3.112932,True,0.00598802,2,500,genesis,main,full
atnah,darga,27,17.776,4.05940655,22,2.272253,True,0.01596806,7,500,genesis,main,full
sof_pasuq,merkha,205,176.566,11.92216087,63,2.38497,True,0.01796407,8,500,genesis,main,full
atnah,tipeha,213,208.348,12.28514328,63,0.378669,True,0.36526946,182,500,genesis,main,full
atnah,tevir,46,44.226,6.5672812,37,0.270127,True,0.43113772,215,500,genesis,main,full
atnah,pashta,121,120.66,10.04879877,54,0.033835,True,0.49700599,248,500,genesis,main,full
zaqef_qatan,darga,22,22.732,4.6741707,27,-0.156605,True,0.59680639,298,500,genesis,main,full
mahapakh,meteg,87,103.184,8.97682074,46,-1.802865,True,0.96007984,480,500,genesis,main,full
revia,meteg,65,78.558,8.36723714,45,-1.620368,True,0.97005988,485,500,genesis,main,full
darga,meteg,22,32.724,5.15178666,32,-2.081608,True,0.98403194,492,500,genesis,main,full
qadma,zaqef_qatan,28,41.012,5.8890762,36,-2.209515,True,0.99001996,495,500,genesis,main,full
geresh,meteg,21,31.464,5.31009399,30,-1.970587,True,0.99001996,495,500,genesis,main,full
meteg,pashta,191,221.066,13.41646926,69,-2.240977,True,0.99201597,496,500,genesis,main,full
sof_pasuq,tevir,31,45.724,6.48103631,35,-2.271859,True,0.99201597,496,500,genesis,main,full
sof_pasuq,pashta,98,124.47,10.05262207,52,-2.633144,True,0.99800399,499,500,genesis,main,full
meteg,tipeha,194,384.348,16.49822047,80,-11.537487,True,1.0,500,500,genesis,main,full
meteg,merkha,156,311.658,15.65295711,76,-9.944319,True,1.0,500,500,genesis,main,full
atnah,meteg,150,189.932,12.65130377,63,-3.156355,True,1.0,500,500,genesis,main,full
sof_pasuq,meteg,143,198.166,12.57866804,62,-4.385679,True,1.0,500,500,genesis,main,full
zaqef_qatan,meteg,135,242.202,13.64527695,67,-7.856345,True,1.0,500,500,genesis,main,full
meteg,zaqef_qatan,124,241.952,13.68225508,67,-8.620801,True,1.0,500,500,genesis,main,full
munah,meteg,114,311.946,15.93772588,75,-12.419965,True,1.0,500,500,genesis,main,full
zaqef_qatan,munah,112,216.554,12.68198523,65,-8.244293,True,1.0,500,500,genesis,main,full
sof_pasuq,tipeha,100,218.48,12.42539258,63,-9.535312,True,1.0,500,500,genesis,main,full
meteg,munah,93,311.634,14.48722898,73,-15.091499,True,1.0,500,500,genesis,main,full
pashta,meteg,93,219.712,13.7704141,65,-9.201757,True,1.0,500,500,genesis,main,full
meteg,meteg,87,348.602,16.63782529,82,-15.723329,True,1.0,500,500,genesis,main,full
meteg,atnah,70,189.778,11.78552133,62,-10.163148,True,1.0,500,500,genesis,main,full
zaqef_qatan,pashta,65,153.648,10.46609642,54,-8.470016,True,1.0,500,500,genesis,main,full
meteg,mahapakh,55,103.052,9.35565886,48,-5.136143,True,1.0,500,500,genesis,main,full
meteg,revia,43,79.178,7.9266626,43,-4.56409,True,1.0,500,500,genesis,main,full
meteg,tevir,41,80.932,8.30115621,45,-4.810414,True,1.0,500,500,genesis,main,full
zaqef_qatan,mahapakh,39,71.602,7.86455966,43,-4.145432,True,1.0,500,500,genesis,main,full
qadma,merkha,33,52.548,7.02726554,41,-2.781736,True,1.0,500,500,genesis,main,full
revia,merkha,28,70.822,7.55675361,40,-5.666719,True,1.0,500,500,genesis,main,full
merkha,pashta,25,196.168,12.5161129,66,-13.675811,True,1.0,500,500,genesis,main,full
tevir,meteg,25,81.09,8.34176661,44,-6.723995,True,1.0,500,500,genesis,main,full
munah,mahapakh,24,92.16,8.93185064,47,-7.631117,True,1.0,500,500,genesis,main,full
revia,munah,24,70.488,7.53547761,41,-6.169217,True,1.0,500,500,genesis,main,full
munah,munah,21,277.676,14.4309226,67,-17.786527,True,1.0,500,500,genesis,main,full
qadma,meteg,21,59.824,6.96059795,38,-5.577682,True,1.0,500,500,genesis,main,full
